node_id,basin_outlet_id,A,L_obs,L_est
44,44.0,1324000000.0,79982.7560573,71400.7507698
144,44.0,1324000000.0,78982.7560573,71400.7507698
243,44.0,1321000000.0,77568.5424949,71274.2320735
344,44.0,1314000000.0,76154.3289326,70978.7776409
443,44.0,1308000000.0,74740.1153702,70725.2575955
544,44.0,1301000000.0,73325.9018078,70429.1632737
645,44.0,1297000000.0,71911.6882454,70259.8105178
646,44.0,1273000000.0,70911.6882454,69241.2850958
647,44.0,1270000000.0,69911.6882454,69113.6762035
748,44.0,1263000000.0,68497.4746831,68815.6659729
849,44.0,1253000000.0,67083.2611207,68389.3109871
950,44.0,1244000000.0,65669.0475583,68004.9564216
1050,44.0,1221000000.0,64669.0475583,67019.9458036
1149,44.0,1215000000.0,63254.8339959,66762.3231237
1250,44.0,1204000000.0,61840.6204336,66289.2923872
1350,44.0,1201000000.0,60840.6204336,66160.1206417
1449,44.0,1080000000.0,59426.4068712,60889.0173462
1547,44.0,1063000000.0,57012.1933088,60138.3885088
1548,44.0,1075000000.0,58012.1933088,60668.5135192
1646,44.0,1052000000.0,55597.9797464,59651.2926098
1745,44.0,1047000000.0,54183.7661841,59429.518473
1846,44.0,965000000.0,52769.5526217,55758.4069155
1946,44.0,962000000.0,51769.5526217,55622.8371112
2047,44.0,752000000.0,50355.3390593,45880.7994671
2148,44.0,748000000.0,48941.125497,45689.8858853
2249,44.0,739000000.0,47526.9119346,45259.5132345
2251,44.0,709000000.0,44698.4848098,43816.5701731
2350,44.0,734000000.0,46112.6983722,45019.9236271
2352,44.0,701000000.0,43284.2712475,43429.5531632
2453,44.0,697000000.0,41870.0576851,43235.6836868
2552,44.0,671000000.0,40455.8441227,41969.5341491
2652,44.0,669000000.0,39455.8441227,41871.6991581
2753,44.0,662000000.0,38041.6305603,41528.7724771
2853,44.0,659000000.0,37041.6305603,41381.5620328
2953,44.0,656000000.0,36041.6305603,41234.2053066
3054,44.0,508000000.0,34627.416998,33763.1802077
3155,44.0,504000000.0,33213.2034356,33555.1507072
3256,44.0,466000000.0,31798.9898732,31560.3750994
3357,44.0,458000000.0,30384.7763109,31135.9747623
3456,44.0,415000000.0,28970.5627485,28826.1497427
3557,44.0,404000000.0,27556.3491861,28227.0349321
3658,44.0,400000000.0,26142.1356237,28008.2961346
3757,44.0,324000000.0,24727.9220614,23754.0525852
3856,44.0,318000000.0,23313.708499,23409.4343353
3956,44.0,314000000.0,22313.708499,23178.9010766
4056,44.0,311000000.0,21313.708499,23005.5806151
4157,44.0,295000000.0,19899.4949366,22074.9300353
4256,44.0,190000000.0,18485.2813742,15650.0848342
4345,44.0,28000000.0,5414.21356237,3502.28901728
4346,44.0,32000000.0,6414.21356237,3887.69074818
4347,44.0,35000000.0,7414.21356237,4169.83572079
4348,44.0,40000000.0,8414.21356237,4628.69616789
4351,44.0,87000000.0,12242.6406871,8497.55097973
4355,44.0,186000000.0,17071.0678119,15391.8949894
4417,6300.0,416000000.0,28727.9220614,33854.5183753
4418,6300.0,399000000.0,27727.9220614,33013.4447916
4419,6300.0,396000000.0,26727.9220614,32863.5544192
4420,6300.0,292000000.0,25727.9220614,27348.6708878
4440,44.0,1000000.0,0.0,258.775579976
4441,44.0,2000000.0,1000.0,444.914924981
4442,44.0,4000000.0,2000.0,764.945790051
4443,44.0,12000000.0,3000.0,1805.74916406
4444,44.0,18000000.0,4000.0,2479.30811609
4449,44.0,43000000.0,9828.42712475,4897.95388074
4450,44.0,73000000.0,10828.4271247,7408.34680078
4452,44.0,92000000.0,13656.8542495,8877.02883033
4453,44.0,94000000.0,14656.8542495,9027.55045858
4454,44.0,177000000.0,15656.8542495,14806.4780846
4513,6300.0,454000000.0,33142.1356237,35686.6934956
4514,6300.0,451000000.0,32142.1356237,35544.3206034
4515,6300.0,435000000.0,31142.1356237,34778.552262
4516,6300.0,431000000.0,30142.1356237,34585.3722387
4521,6300.0,289000000.0,24313.708499,27178.9058444
4522,6300.0,278000000.0,23313.708499,26550.3560699
4523,6300.0,275000000.0,22313.708499,26377.2288302
4611,6300.0,479000000.0,35556.3491861,36858.943722
4612,6300.0,463000000.0,34556.3491861,36111.5874852
4624,6300.0,219000000.0,20899.4949366,22993.4352314
4625,6300.0,184000000.0,19899.4949366,20701.6352375
4626,6300.0,181000000.0,18899.4949366,20497.4582615
4630,6300.0,138000000.0,14071.0678119,17404.9302422
4631,6300.0,132000000.0,13071.0678119,16944.6326532
4710,6300.0,484000000.0,36970.5627485,37090.4513573
4727,6300.0,173000000.0,17485.2813742,19946.3081831
4728,6300.0,165000000.0,16485.2813742,19384.9408434
4729,6300.0,162000000.0,15485.2813742,19171.6538269
4732,6300.0,74000000.0,11656.8542495,11953.2019657
4733,6300.0,72000000.0,10656.8542495,11757.3532865
4735,6300.0,37000000.0,7828.42712475,7870.03905057
4742,6300.0,1000000.0,0.0,892.118830526
4809,6300.0,490000000.0,38384.7763109,37367.0108129
4834,6300.0,67000000.0,9242.64068712,11258.035224
4836,6300.0,20000000.0,6414.21356237,5431.05885765
4837,6300.0,19000000.0,5414.21356237,5265.66054378
4838,6300.0,16000000.0,4414.21356237,4747.36023207
4839,6300.0,13000000.0,3414.21356237,4188.70512818
4840,6300.0,8000000.0,2414.21356237,3125.68218296
4841,6300.0,4000000.0,1414.21356237,2057.96245309
4908,6300.0,499000000.0,39798.9898732,37779.3420602
4943,9936.0,1000000.0,0.0,444.886460439
5008,6300.0,505000000.0,40798.9898732,38052.5903444
5043,9936.0,2000000.0,1000.0,736.352968266
5109,6300.0,512000000.0,42213.2034356,38369.7561161
5143,9936.0,5000000.0,2000.0,1433.41724852
5210,6300.0,517000000.0,43627.416998,38595.2499159
5243,9936.0,13000000.0,3000.0,2871.05671498
5311,6300.0,581000000.0,45041.6305603,41409.0205474
5344,9936.0,20000000.0,4414.21356237,3926.8682654
5410,6300.0,586000000.0,46455.8441227,41623.523699
5445,9936.0,28000000.0,5828.42712475,5015.05397479
5509,6300.0,598000000.0,47870.0576851,42135.3876262
5545,9936.0,51000000.0,6828.42712475,7755.055315
5609,6300.0,601000000.0,48870.0576851,42262.7144252
5646,9936.0,62000000.0,8242.64068712,8938.13216021
5657,6299.0,1000000.0,0.0,289.539313785
5709,6300.0,627000000.0,49870.0576851,43355.8364765
5747,9936.0,72000000.0,9656.85424949,9964.51487397
5758,6299.0,4000000.0,1414.21356237,861.602450665
5808,6300.0,636000000.0,51284.2712475,43730.0124693
5848,9936.0,92000000.0,11071.0678119,11908.1681376
5859,6299.0,8000000.0,2828.42712475,1486.30047967
5874,6299.0,310000000.0,22798.9898732,26393.1517107
5908,6300.0,642000000.0,52284.2712475,43978.2958523
5949,9936.0,103000000.0,12485.2813742,12927.1242236
5960,6299.0,14000000.0,4242.64068712,2308.27748327
5973,6299.0,208000000.0,21384.7763109,19282.7645025
5975,6299.0,315000000.0,24213.2034356,26727.4451292
6007,6300.0,650000000.0,53698.4848098,44307.9119099
6050,9936.0,123000000.0,13899.4949366,14707.1057613
6061,6299.0,21000000.0,5656.85424949,3175.46225861
6067,6299.0,76000000.0,14142.1356237,8734.03351386
6069,6299.0,183000000.0,16970.5627485,17435.0401005
6070,6299.0,188000000.0,17970.5627485,17808.6851976
6071,6299.0,191000000.0,18970.5627485,18031.8529224
6072,6299.0,196000000.0,19970.5627485,18402.1467417
6075,6299.0,318000000.0,25213.2034356,26927.4772395
6092,6299.0,724000000.0,51426.4068712,51436.1109693
6093,6299.0,744000000.0,52426.4068712,52550.5678063
6107,6300.0,655000000.0,54698.4848098,44513.1042171
6151,9936.0,142000000.0,15313.708499,16325.9081439
6162,6299.0,28000000.0,7071.06781187,3981.87578035
6166,6299.0,73000000.0,12727.9220614,8461.67015924
6168,6299.0,99000000.0,15556.3491861,10753.1857826
6176,6299.0,331000000.0,26627.416998,27789.6926656
6186,6299.0,571000000.0,43355.3390593,42674.1105741
6188,6299.0,691000000.0,46183.7661841,49582.7444005
6190,6299.0,710000000.0,49012.1933088,50652.0839478
6191,6299.0,714000000.0,50012.1933088,50876.425546
6194,6299.0,749000000.0,53840.6204336,52828.1778676
6197,6299.0,802000000.0,59083.2611207,55747.1575695
6206,6300.0,661000000.0,56112.6983722,44758.5158725
6252,9936.0,148000000.0,16727.9220614,16824.5429698
6263,6299.0,33000000.0,8485.28137424,4531.25513987
6265,6299.0,65000000.0,11313.708499,7723.29078255
6276,6299.0,374000000.0,27627.416998,30592.1161699
6285,6299.0,567000000.0,41941.125497,42438.7763479
6287,6299.0,575000000.0,44769.5526217,42909.0933058
6289,6299.0,704000000.0,47597.9797464,50315.0650225
6294,6299.0,753000000.0,54840.6204336,53049.9812647
6296,6299.0,796000000.0,57669.0475583,55418.8215623
6298,6299.0,805000000.0,60497.4746831,55911.1288886
6299,6299.0,805000000.0,61497.4746831,55911.1288886
6300,6300.0,1233000000.0,63941.125497,65182.7373572
6301,6300.0,1233000000.0,62941.125497,65182.7373572
6302,6300.0,1232000000.0,61941.125497,65150.8569429
6303,6300.0,1229000000.0,60941.125497,65055.1539975
6306,6300.0,1202000000.0,57112.6983722,64189.6130243
6353,9936.0,163000000.0,18142.1356237,18047.6945505
6364,6299.0,61000000.0,9899.49493661,7346.9032031
6377,6299.0,380000000.0,29041.6305603,30977.5247523
6385,6299.0,539000000.0,40941.125497,40781.3358755
6395,6299.0,793000000.0,56254.8339959,55254.4556759
6404,6300.0,1222000000.0,59526.9119346,64831.4856888
6405,6300.0,1210000000.0,58526.9119346,64446.8671435
6453,9936.0,167000000.0,19142.1356237,18368.589139
6478,6299.0,416000000.0,30455.8441227,33263.580097
6485,6299.0,535000000.0,39941.125497,40543.0771719
6554,9936.0,190000000.0,20556.3491861,20174.9547025
6579,6299.0,420000000.0,31870.0576851,33514.9209039
6581,6299.0,477000000.0,34698.4848098,37043.7212656
6583,6299.0,519000000.0,37526.9119346,39586.2033039
6584,6299.0,528000000.0,38526.9119346,40125.2070211
6654,9936.0,193000000.0,21556.3491861,20406.0334342
6680,6299.0,471000000.0,33284.2712475,36676.6890133
6682,6299.0,514000000.0,36112.6983722,39285.8961084
