node_id,basin_outlet_id,A,L_obs,L_est
22,22.0,477000000.0,43041.6305603,39782.5667346
50,50.0,881000000.0,50627.416998,45621.226161
122,22.0,477000000.0,42041.6305603,39782.5667346
150,50.0,881000000.0,49627.416998,45621.226161
222,22.0,476000000.0,41041.6305603,39731.2382684
250,50.0,880000000.0,48627.416998,45588.061985
322,22.0,473000000.0,40041.6305603,39577.0033121
349,50.0,872000000.0,47213.2034356,45322.2587095
423,22.0,448000000.0,38627.416998,38276.7298849
424,22.0,443000000.0,37627.416998,38013.3565559
449,50.0,868000000.0,46213.2034356,45189.0282863
525,22.0,438000000.0,36213.2034356,37748.8368167
549,50.0,863000000.0,45213.2034356,45022.1792824
626,22.0,432000000.0,34798.9898732,37429.874259
649,50.0,859000000.0,44213.2034356,44888.4496
727,22.0,427000000.0,33384.7763109,37162.7677745
750,50.0,702000000.0,42798.9898732,39446.4263153
828,22.0,313000000.0,31970.5627485,30699.3503164
851,50.0,695000000.0,41384.7763109,39194.1132523
929,22.0,304000000.0,30556.3491861,30153.2602732
952,50.0,689000000.0,39970.5627485,38977.1165258
1030,22.0,297000000.0,29142.1356237,29724.210404
1053,50.0,681000000.0,38556.3491861,38686.7271751
1130,22.0,287000000.0,28142.1356237,29104.4680431
1154,50.0,674000000.0,37142.1356237,38431.6284678
1230,22.0,276000000.0,27142.1356237,28413.0710419
1255,50.0,666000000.0,35727.9220614,38138.9171953
1331,22.0,235000000.0,25727.9220614,25736.6862348
1356,50.0,652000000.0,34313.708499,37623.6100214
1430,22.0,198000000.0,24313.708499,23162.259529
1457,50.0,642000000.0,32899.4949366,37253.0939792
1529,22.0,194000000.0,22899.4949366,22873.2680944
1557,50.0,628000000.0,31899.4949366,36730.8640846
1629,22.0,192000000.0,21899.4949366,22727.9131693
1657,50.0,625000000.0,30899.4949366,36618.4149815
1730,22.0,150000000.0,20485.2813742,19525.6351011
1756,50.0,599000000.0,29485.2813742,35635.5773056
1831,22.0,146000000.0,19071.0678119,19203.6522287
1855,50.0,365000000.0,27384.7763109,25949.6575962
1932,22.0,139000000.0,17656.8542495,18631.8893203
1954,50.0,359000000.0,25970.5627485,25675.7076871
2032,22.0,106000000.0,16656.8542495,15770.4343618
2053,50.0,344000000.0,24556.3491861,24983.5215827
2132,22.0,103000000.0,15656.8542495,15494.3401121
2152,50.0,331000000.0,23142.1356237,24374.7966494
2232,22.0,84000000.0,14656.8542495,13667.6300896
2251,50.0,320000000.0,21727.9220614,23852.9742149
2295,2399.0,466000000.0,36213.2034356,38364.470383
2332,22.0,81000000.0,13656.8542495,13365.2398522
2349,50.0,213000000.0,19313.708499,18380.3980158
2350,50.0,217000000.0,20313.708499,18600.6743805
2394,2399.0,458000000.0,34798.9898732,37976.2799973
2396,2399.0,473000000.0,37627.416998,38701.8864609
2397,2399.0,476000000.0,38627.416998,38845.8618988
2398,2399.0,477000000.0,39627.416998,38893.7704361
2399,2399.0,477000000.0,40627.416998,38893.7704361
2432,22.0,76000000.0,12656.8542495,12851.493476
2448,50.0,170000000.0,17899.4949366,15909.2253553
2493,2399.0,363000000.0,33384.7763109,33129.80244
2532,22.0,67000000.0,11656.8542495,11892.657168
2547,50.0,165000000.0,16485.2813742,15608.0067671
2591,2399.0,300000000.0,30970.5627485,29620.9264019
2592,2399.0,357000000.0,31970.5627485,32807.0890138
2633,22.0,51000000.0,10242.6406871,10054.8630173
2647,50.0,85000000.0,13071.0678119,10206.9709197
2689,2399.0,212000000.0,28556.3491861,24156.9287116
2690,2399.0,293000000.0,29556.3491861,29213.031896
2734,22.0,44000000.0,8828.42712475,9181.88351216
2747,50.0,82000000.0,12071.0678119,9974.8141252
2786,2399.0,200000000.0,25142.1356237,23344.2256553
2787,2399.0,205000000.0,26142.1356237,23685.2321365
2788,2399.0,209000000.0,27142.1356237,23955.5724521
2834,22.0,26000000.0,7828.42712475,6643.1462251
2846,50.0,75000000.0,10656.8542495,9420.87383504
2885,2399.0,195000000.0,23727.9220614,22999.6822176
2934,22.0,24000000.0,6828.42712475,6323.95174004
2946,50.0,71000000.0,9656.85424949,9095.98995189
2983,2399.0,177000000.0,21313.708499,21727.9635544
2984,2399.0,188000000.0,22313.708499,22511.1324813
3034,22.0,21000000.0,5828.42712475,5825.22278974
3046,50.0,65000000.0,8656.85424949,8596.01839013
3082,2399.0,172000000.0,19899.4949366,21365.3556926
3134,22.0,17000000.0,4828.42712475,5115.12695156
3146,50.0,59000000.0,7656.85424949,8079.13911747
3177,2399.0,109000000.0,14485.2813742,16344.2120722
3178,2399.0,113000000.0,15485.2813742,16693.8476081
3179,2399.0,119000000.0,16485.2813742,17208.8679949
3180,2399.0,122000000.0,17485.2813742,17462.3524097
3181,2399.0,164000000.0,18485.2813742,20776.0017055
3234,22.0,11000000.0,3828.42712475,3913.37172116
3245,50.0,32000000.0,6242.64068712,5460.5166477
3276,2399.0,66000000.0,13071.0678119,12173.0837419
3334,22.0,9000000.0,2828.42712475,3458.89416769
3345,50.0,24000000.0,5242.64068712,4541.86647716
3375,2399.0,62000000.0,11656.8542495,11734.2132662
3435,22.0,4000000.0,1414.21356237,2100.28614473
3436,22.0,1000000.0,0.0,895.154070973
3441,50.0,1000000.0,0.0,593.571382263
3442,50.0,3000000.0,1414.21356237,1199.43824856
3443,50.0,6000000.0,2828.42712475,1869.51971806
3444,50.0,15000000.0,3828.42712475,3361.51103115
3469,2399.0,22000000.0,5242.64068712,6385.35747924
3470,2399.0,26000000.0,6242.64068712,7043.59763794
3471,2399.0,29000000.0,7242.64068712,7510.12633725
