node_id,basin_outlet_id,A,L_obs,L_est
35,35.0,960000000.0,53284.2712475,48731.0948074
135,35.0,960000000.0,52284.2712475,48731.0948074
236,35.0,957000000.0,50870.0576851,48644.2156278
336,35.0,955000000.0,49870.0576851,48586.2311206
437,35.0,928000000.0,48455.8441227,47798.263837
538,35.0,922000000.0,47041.6305603,47621.8275731
639,35.0,911000000.0,45627.416998,47297.0740152
739,35.0,906000000.0,44627.416998,47148.9018081
840,35.0,893000000.0,43213.2034356,46761.9999841
940,35.0,888000000.0,42213.2034356,46612.5476024
1040,35.0,881000000.0,41213.2034356,46402.7051359
1140,35.0,877000000.0,40213.2034356,46282.4733241
1239,35.0,529000000.0,38798.9898732,34693.6372831
1338,35.0,523000000.0,37384.7763109,34468.7441977
1437,35.0,515000000.0,35970.5627485,34167.1539917
1536,35.0,510000000.0,34556.3491861,33977.6368048
1636,35.0,449000000.0,33556.3491861,31597.437091
1737,35.0,369000000.0,32142.1356237,28253.1003321
1837,35.0,357000000.0,31142.1356237,27725.5532247
1937,35.0,354000000.0,30142.1356237,27592.480942
2037,35.0,350000000.0,29142.1356237,27414.2947076
2138,35.0,314000000.0,27727.9220614,25769.2904506
2238,35.0,283000000.0,26727.9220614,24286.522892
2295,2399.0,830000000.0,55183.7661841,60198.6555626
2338,35.0,280000000.0,25727.9220614,24139.4064972
2394,2399.0,823000000.0,53769.5526217,59844.8371008
2396,2399.0,837000000.0,56597.9797464,60551.5680638
2397,2399.0,840000000.0,57597.9797464,60702.5413957
2398,2399.0,841000000.0,58597.9797464,60752.8293976
2399,2399.0,841000000.0,59597.9797464,60752.8293976
2438,35.0,275000000.0,24727.9220614,23892.6980372
2493,2399.0,540000000.0,52355.3390593,44632.6497475
2538,35.0,271000000.0,23727.9220614,23693.9398214
2593,2399.0,532000000.0,51355.3390593,44171.3880278
2639,35.0,236000000.0,22313.708499,21897.6407057
2692,2399.0,525000000.0,49941.125497,43766.0517398
2740,35.0,230000000.0,20899.4949366,21578.4870202
2792,2399.0,520000000.0,48941.125497,43475.5195589
2839,35.0,218000000.0,19485.2813742,20929.241844
2892,2399.0,515000000.0,47941.125497,43184.1369
2940,35.0,210000000.0,18071.0678119,20487.8468506
2941,35.0,196000000.0,17071.0678119,19697.6147428
2983,2399.0,391000000.0,36041.6305603,35650.0600447
2984,2399.0,405000000.0,37041.6305603,36533.7361641
2991,2399.0,495000000.0,46526.9119346,42009.8821087
3042,35.0,191000000.0,15656.8542495,19409.5440414
3082,2399.0,362000000.0,34627.416998,33788.2796721
3085,2399.0,409000000.0,38455.8441227,36784.4999046
3087,2399.0,464000000.0,41284.2712475,40160.8119061
3088,2399.0,467000000.0,42284.2712475,40341.3609921
3090,2399.0,491000000.0,45112.6983722,41773.3137973
3142,35.0,150000000.0,14656.8542495,16911.6340926
3172,2399.0,243000000.0,22556.3491861,25602.6658755
3173,2399.0,249000000.0,23556.3491861,26041.0248094
3174,2399.0,261000000.0,24556.3491861,26908.2416217
3175,2399.0,264000000.0,25556.3491861,27123.1363564
3176,2399.0,277000000.0,26556.3491861,28045.9204364
3181,2399.0,357000000.0,33213.2034356,33462.7735537
3186,2399.0,456000000.0,39870.0576851,39677.6028654
3189,2399.0,483000000.0,43698.4848098,41298.4111001
3242,35.0,147000000.0,13656.8542495,16717.963394
3271,2399.0,212000000.0,21142.1356237,23282.6495719
3277,2399.0,286000000.0,27970.5627485,28677.0631872
3278,2399.0,290000000.0,28970.5627485,28955.6274149
3280,2399.0,349000000.0,31798.9898732,32939.0642229
3341,35.0,80000000.0,12242.6406871,11817.9366819
3370,2399.0,207000000.0,19727.9220614,22899.0729937
3379,2399.0,344000000.0,30384.7763109,32609.8930574
3440,35.0,74000000.0,10828.4271247,11304.160892
3469,2399.0,174000000.0,18313.708499,20291.9638602
3540,35.0,66000000.0,9828.42712475,10590.3485169
3567,2399.0,144000000.0,15899.4949366,17787.7613472
3568,2399.0,163000000.0,16899.4949366,19390.2808127
3640,35.0,61000000.0,8828.42712475,10125.2103801
3666,2399.0,124000000.0,14485.2813742,16029.5694411
3740,35.0,49000000.0,7828.42712475,8936.47510051
3765,2399.0,118000000.0,13071.0678119,15485.6710902
3840,35.0,46000000.0,6828.42712475,8620.31453159
3865,2399.0,84000000.0,12071.0678119,12223.5426767
3939,35.0,22000000.0,5414.21356237,5660.99970415
3965,2399.0,80000000.0,11071.0678119,11815.4191765
4039,35.0,17000000.0,4414.21356237,4887.13657944
4056,9936.0,1000000.0,0.0,279.183565294
4064,2399.0,68000000.0,9656.85424949,10551.7384029
4139,35.0,12000000.0,3414.21356237,4006.94619947
4157,9936.0,6000000.0,1414.21356237,1114.84601036
4163,2399.0,58000000.0,8242.64068712,9445.89296966
4239,35.0,7000000.0,2414.21356237,2946.84725582
4256,9936.0,14000000.0,2828.42712475,2145.71994566
4263,2399.0,43000000.0,7242.64068712,7669.9036935
4339,35.0,4000000.0,1414.21356237,2141.88619133
4355,9936.0,24000000.0,4242.64068712,3254.34386195
4364,2399.0,22000000.0,5828.42712475,4810.82107626
4438,35.0,1000000.0,0.0,971.737586855
4454,9936.0,38000000.0,5656.85424949,4641.78688307
4464,2399.0,20000000.0,4828.42712475,4502.04147104
4553,9936.0,61000000.0,7242.64068712,6691.49779479
4564,2399.0,15000000.0,3828.42712475,3685.11384006
4652,9936.0,75000000.0,8656.85424949,7849.90315113
4664,2399.0,9000000.0,2828.42712475,2582.509983
4752,9936.0,86000000.0,9656.85424949,8725.59490881
4762,2399.0,1000000.0,0.0,559.60281351
4763,2399.0,4000000.0,1414.21356237,1468.65413313
4832,6300.0,1000000.0,0.0,1167.87288877
4851,9936.0,94000000.0,11071.0678119,9346.44268519
4932,6300.0,3000000.0,1414.21356237,2145.56627053
4950,9936.0,103000000.0,12485.2813742,10030.7222585
5032,6300.0,7000000.0,2414.21356237,3429.75548646
5049,9936.0,108000000.0,13899.4949366,10404.9662542
5132,6300.0,10000000.0,3414.21356237,4178.50369121
5148,9936.0,170000000.0,15313.708499,14773.8629067
5232,6300.0,14000000.0,4414.21356237,5034.08976169
5249,9936.0,176000000.0,16727.9220614,15175.2111393
5331,6300.0,27000000.0,5828.42712475,7241.60189854
5349,9936.0,179000000.0,17727.9220614,15374.7155513
5430,6300.0,36000000.0,7242.64068712,8491.88063336
5449,9936.0,263000000.0,18727.9220614,20698.4380287
5530,6300.0,38000000.0,8242.64068712,8749.91043478
5548,9936.0,268000000.0,20142.1356237,21001.8727054
5630,6300.0,62000000.0,9242.64068712,11473.840499
5649,9936.0,272000000.0,21556.3491861,21243.6947255
5729,6300.0,68000000.0,10656.8542495,12075.8779391
5747,9936.0,287000000.0,25384.7763109,22143.457163
5749,9936.0,279000000.0,22556.3491861,21664.9505536
5828,6300.0,73000000.0,12071.0678119,12559.6660717
5846,9936.0,391000000.0,26798.9898732,28120.5152425
5848,9936.0,283000000.0,23970.5627485,21904.5880959
5928,6300.0,83000000.0,13071.0678119,13484.8337071
5946,9936.0,394000000.0,27798.9898732,28287.1000745
6027,6300.0,90000000.0,14485.2813742,14103.0648547
6045,9936.0,398000000.0,29213.2034356,28508.7656673
6126,6300.0,124000000.0,15899.4949366,16840.9506775
6144,9936.0,439000000.0,30627.416998,30752.7318918
6225,6300.0,133000000.0,17313.708499,17507.0670363
6244,9936.0,442000000.0,31627.416998,30915.006028
6300,6300.0,786000000.0,48870.0576851,46813.865353
6301,6300.0,786000000.0,47870.0576851,46813.865353
6302,6300.0,785000000.0,46870.0576851,46780.8822741
6303,6300.0,782000000.0,45870.0576851,46681.8203357
6306,6300.0,752000000.0,42041.6305603,45681.703696
6307,6300.0,509000000.0,41041.6305603,36804.6580093
6325,6300.0,138000000.0,18313.708499,17868.4381247
6344,9936.0,571000000.0,32627.416998,37680.0149707
6404,6300.0,775000000.0,44455.8441227,46450.0139081
6405,6300.0,769000000.0,43455.8441227,46250.5777786
6408,6300.0,504000000.0,39627.416998,36604.0600523
6409,6300.0,501000000.0,38627.416998,36483.2747548
6410,6300.0,498000000.0,37627.416998,36362.1661756
6424,6300.0,144000000.0,19727.9220614,18294.4548246
6443,9936.0,595000000.0,34041.6305603,38898.1277403
6511,6300.0,484000000.0,36213.2034356,35792.6342874
6512,6300.0,438000000.0,35213.2034356,33867.4302353
6513,6300.0,435000000.0,34213.2034356,33738.8095443
6514,6300.0,428000000.0,33213.2034356,33437.1454926
6515,6300.0,424000000.0,32213.2034356,33263.7769453
6518,6300.0,330000000.0,28384.7763109,28953.9882725
6524,6300.0,148000000.0,20727.9220614,18574.0744533
6543,9936.0,602000000.0,35041.6305603,39251.2921313
6616,6300.0,378000000.0,30798.9898732,31214.7617487
6617,6300.0,373000000.0,29798.9898732,30985.4942198
6619,6300.0,314000000.0,26970.5627485,28168.1799161
6622,6300.0,157000000.0,23142.1356237,19191.149579
6623,6300.0,153000000.0,22142.1356237,18918.8980262
6642,9936.0,610000000.0,36455.8441227,39653.7681698
6720,6300.0,310000000.0,25556.3491861,27968.9540955
6721,6300.0,304000000.0,24556.3491861,27667.9507733
6741,9936.0,632000000.0,37870.0576851,40754.4584566
6840,9936.0,636000000.0,39284.2712475,40953.6411925
6939,9936.0,675000000.0,40698.4848098,42881.0896668
7040,9936.0,682000000.0,42112.6983722,43224.3277644
7140,9936.0,687000000.0,43112.6983722,43469.0076743
7241,9936.0,691000000.0,44526.9119346,43664.4603095
7342,9936.0,754000000.0,45941.125497,46710.0749996
7441,9936.0,762000000.0,47355.3390593,47092.5938751
7540,9936.0,771000000.0,48769.5526217,47521.8386517
7639,9936.0,775000000.0,50183.7661841,47712.2481371
7738,9936.0,795000000.0,51597.9797464,48660.9755716
7837,9936.0,851000000.0,53012.1933088,51289.1508991
7937,9936.0,855000000.0,54012.1933088,51475.3466019
8038,9936.0,860000000.0,55426.4068712,51707.8131486
8139,9936.0,1033000000.0,56840.6204336,59575.733968
8237,9936.0,1043000000.0,59254.8339959,60020.9166758
8238,9936.0,1040000000.0,58254.8339959,59887.4641156
8336,9936.0,1063000000.0,60669.0475583,60908.3867248
8436,9936.0,1067000000.0,61669.0475583,61085.4235673
8536,9936.0,1071000000.0,62669.0475583,61262.3096595
8636,9936.0,1073000000.0,63669.0475583,61350.6963903
8735,9936.0,1246000000.0,65083.2611207,68862.9860865
8835,9936.0,1250000000.0,66083.2611207,69033.7573673
8936,9936.0,1292000000.0,67497.4746831,70819.4527281
9037,9936.0,1318000000.0,68911.6882454,71918.2628091
9136,9936.0,1325000000.0,70325.9018078,72213.2515915
9236,9936.0,1329000000.0,71325.9018078,72381.6575578
9335,9936.0,1336000000.0,72740.1153702,72676.0911975
9435,9936.0,1357000000.0,73740.1153702,73557.2989342
9536,9936.0,1372000000.0,75154.3289326,74184.8356206
9635,9936.0,1377000000.0,76568.5424949,74393.6674541
9735,9936.0,1379000000.0,77568.5424949,74477.1519169
9836,9936.0,1382000000.0,78982.7560573,74602.3270462
9936,9936.0,1382000000.0,79982.7560573,74602.3270462
